SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME
NSE,D,37383,OPTIDX,0,BANKNIFTY-Jun2024-40800-PE,15,BANKNIFTY 19 JUN 40800 PUT,19-06-2024 14:30,40800,PE,5,W,OP,,
NSE,D,37384,OPTIDX,0,BANKNIFTY-Jun2024-40900-CE,15,BANKNIFTY 19 JUN 40900 CALL,19-06-2024 14:30,40900,CE,5,W,OP,,
NSE,D,37385,OPTIDX,0,BANKNIFTY-Jun2024-40900-PE,15,BANKNIFTY 19 JUN 40900 PUT,19-06-2024 14:30,40900,PE,5,W,OP,,
NSE,D,37387,OPTIDX,0,BANKNIFTY-Jun2024-58600-CE,15,BANKNIFTY 19 JUN 58600 CALL,19-06-2024 14:30,58600,CE,5,W,OP,,
NSE,D,37389,OPTIDX,0,BANKNIFTY-Jun2024-41100-CE,15,BANKNIFTY 19 JUN 41100 CALL,19-06-2024 14:30,41100,CE,5,W,OP,,
NSE,D,37393,OPTIDX,0,BANKNIFTY-Jun2024-58600-PE,15,BANKNIFTY 19 JUN 58600 PUT,19-06-2024 14:30,58600,PE,5,W,OP,,
NSE,D,37395,OPTIDX,0,BANKNIFTY-Jun2024-58700-CE,15,BANKNIFTY 19 JUN 58700 CALL,19-06-2024 14:30,58700,CE,5,W,OP,,
NSE,D,37403,OPTIDX,0,BANKNIFTY-Jun2024-41100-PE,15,BANKNIFTY 19 JUN 41100 PUT,19-06-2024 14:30,41100,PE,5,W,OP,,
NSE,D,37405,OPTIDX,0,BANKNIFTY-Jun2024-41200-CE,15,BANKNIFTY 19 JUN 41200 CALL,19-06-2024 14:30,41200,CE,5,W,OP,,
NSE,D,37408,OPTIDX,0,BANKNIFTY-Jun2024-41200-PE,15,BANKNIFTY 19 JUN 41200 PUT,19-06-2024 14:30,41200,PE,5,W,OP,,
NSE,D,37411,OPTIDX,0,BANKNIFTY-Jun2024-58700-PE,15,BANKNIFTY 19 JUN 58700 PUT,19-06-2024 14:30,58700,PE,5,W,OP,,
NSE,D,37412,OPTIDX,0,BANKNIFTY-Jun2024-58800-CE,15,BANKNIFTY 19 JUN 58800 CALL,19-06-2024 14:30,58800,CE,5,W,OP,,
